FIPS_people,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010
12113,85.04,5.25,1.78,0.79,4.3,2.97
12115,84.85,4.49,1.27,0.18,7.91,1.58
12117,66.34,10.46,3.66,0.24,17.14,2.88
12119,82.79,9.35,0.65,0.31,5.98,1.12
12121,77.74,11.3,0.54,0.39,8.65,1.86
12123,73.03,20.51,0.66,0.76,3.44,1.74
12125,71.6,21.83,0.21,0.33,4.78,1.45
12127,75.41,10.02,1.49,0.27,11.16,2.12
12129,79.52,14.32,0.54,0.57,3.3,1.82
12131,85.13,5.72,0.89,0.84,5.31,2.36
12133,78.53,14.85,0.53,1.19,2.94,2.09
,,,,,,
13001,70.49,18.43,0.69,0.22,9.34,1.07
13003,57.03,17.05,0.2,0.37,24.35,1.55
13005,75.98,15.28,0.31,0.07,7.13,1.29
13007,47.58,46.36,0.7,0.26,4.2,1.22
13009,54.03,41.26,1.27,0.19,2.01,1.22
13011,89.84,2.26,0.9,0.2,5.66,1.41
13013,74.58,11.2,3.4,0.19,8.7,2.32
13015,79.68,10.01,0.7,0.29,7.68,2.09
13017,57.64,34.52,0.68,0.27,5.82,1.33
13019,83.22,10.58,0.43,0.23,4.59,1.27
13021,42.11,51.91,1.6,0.18,2.82,1.44
13023,68.9,27.05,0.83,0.05,2.3,0.98
13025,93.41,2.88,0.2,0.3,1.86,1.48
13027,58.02,35.06,0.31,0.3,5.25,1.24
13029,77.55,13.93,1.56,0.27,4.42,2.51
13031,65.87,27.42,1.44,0.2,3.47,1.65
13033,46.51,49.19,0.29,0.2,2.65,1.32
13035,68.48,27.19,0.42,0.22,2.52,1.33
13037,33.61,61.13,0.45,0.13,3.91,0.96
13039,71.22,19.05,1.4,0.46,5.13,3.03
13043,63.18,24.27,0.52,0.07,11.16,1.04
13045,72.86,17.97,0.76,0.27,6.15,2.23
13047,92.5,2.12,1.19,0.3,2.3,1.65
13049,66.68,28.29,0.62,0.31,2.55,1.58
13051,50.35,39.71,2.35,0.22,5.42,2.15
13053,62.92,18.17,2.05,0.59,12.41,4.42
13055,82.99,11.09,0.42,0.18,4.01,1.59
13057,81.29,5.43,1.63,0.25,9.59,2.09
13059,57.13,26.3,4.12,0.12,10.45,2.16
13061,37.32,60.32,0.31,0.35,0.82,1.16
13063,14.11,65.15,4.95,0.22,13.66,2.53
13065,66.73,27.6,0.19,0.56,3.47,1.38
13067,56.31,24.42,4.42,0.19,12.26,2.71
13069,61.16,26.51,0.71,0.21,10.27,1.36
13071,58.81,22.29,0.64,0.22,17.06,1.42
13073,73.77,14.58,3.81,0.28,4.98,2.81
13075,64.9,27.21,0.66,0.22,5.95,1.37
13077,72.73,17.08,1.49,0.22,6.67,2.07
13079,73.49,22.22,0.25,0.41,2.38,1.25
13081,52.12,42.8,0.78,0.1,3.19,0.97
13083,94.97,0.85,0.69,0.39,1.76,1.31
13085,93.36,0.43,0.56,0.33,4.12,1.36
13087,52.49,40.82,0.5,0.2,5.04,1.21
13089,29.4,53.62,5.08,0.18,9.8,2.39
13091,65.48,29.6,0.46,0.18,3.36,0.99
13093,43.31,49.48,0.62,0.11,5.78,0.91
13095,28.88,66.83,0.76,0.19,2.19,1.19
13097,49.03,38.81,1.42,0.24,8.4,2.38
