state,county_name,unemployment_rate_2010,population_total_2010,urban_population_prc,rural_population_prc,crime_per_capita,per_capita_sme_num,per_capita_large_num,avg_ann_pay_per_emp_sme,avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total,population_jail_prc,2008_dem_%_vote,2008_rep_%_vote,2008_other_%_vote,smoke_percent_2010,popul_hs_grad_prc,popul_college_grad_prc,popul_single_paren_prc,liquor_stores_per10k,police_per_1000,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010
WI,Waupaca County,9.3,52410.0,0.35060103,0.64939897,0.000992177,0.020587674,0.001469185,26363.63636,42817.32852,32060.37123,0.002371494,0.50770256,0.47947944,0.012818,24.86,91.0,16.0,8.0,1.2,1.9461934745277618,95.69,0.28,0.36,0.45,2.49,0.87
WI,Waushara County,10.6,24496.0,0.105037557,0.894962443,0.000857283,0.017268125,0.001143044,21999.14918,0.0,23977.94463,0.005919334,0.495231665,0.486960925,0.01780741,26.74,81.0,12.0,7.0,0.4,2.612671456564337,91.1,1.82,0.37,0.44,5.43,1.15
WI,Winnebago County,7.6,166994.0,0.865689785,0.134310215,0.002077919,0.016683234,0.001772519,33830.5061,49494.40369,42787.5806,0.001946178,0.549368706,0.432793093,0.017838202,23.73,87.0,24.0,8.0,0.7,1.1317771895996265,90.73,1.71,2.27,0.56,3.46,1.48
WI,Wood County,9.1,74749.0,0.63317235,0.36682765,0.000307696,0.020013646,0.001966581,29653.89946,48297.41631,39774.32826,0.001150517,0.555925433,0.424587729,0.019486838,24.36,97.0,19.0,7.0,0.9,0.9230892720972855,93.88,0.51,1.74,0.72,2.25,1.07
WY,Albany County,4.8,36299.0,0.880602771,0.119397229,0.001377448,0.024794071,0.002424309,30212.93024,28439.67093,29818.19107,0.001480757,0.502528923,0.461368525,0.036102552,15.89,78.0,44.0,6.0,1.8,0.606077302405025,84.84,1.07,2.77,0.55,8.82,2.68
WY,Big Horn County,7.2,11668.0,0.0,1.0,0.001971203,0.023740144,0.001028454,33136.49425,42494.40299,35048.01829,0.004682893,0.207451788,0.757348811,0.035199401,22.05,89.0,16.0,7.0,2.7,0.7713404182379157,89.43,0.21,0.32,0.76,8.43,1.22
WY,Campbell County,6.5,46133.0,0.709275356,0.290724644,0.001018793,0.027334013,0.003229792,42311.20852,66785.46926,54651.45467,0.002811653,0.182483979,0.794079951,0.02343607,24.26,87.0,16.0,11.0,1.8,1.3005874319901156,88.94,0.29,0.54,0.9,7.83,2.1
WY,Carbon County,7.2,15885.0,0.58369531,0.41630469,0.001888574,0.027384325,0.002832861,37959.23261,54599.55874,39673.34833,0.003003462,0.338550725,0.627681159,0.033768116,24.62,73.0,17.0,8.0,4.0,1.8885741265344667,79.84,0.69,0.65,0.76,16.8,2.25
WY,Converse County,5.9,13833.0,0.446396299,0.553603701,0.002674763,0.029133232,0.002024145,29885.44892,69005.94648,44161.23734,0.002512109,0.212275035,0.75711429,0.030610675,23.94,100.0,15.0,9.0,4.0,1.0120725800621702,91.32,0.31,0.3,0.64,6.27,1.68
WY,Crook County,5.4,7083.0,0.0,1.0,0.000705916,0.030636736,0.000705916,32166.41791,0.0,35667.1159,0.001431597,0.165137615,0.800593632,0.034268753,22.61,98.0,17.0,6.0,4.9,2.964845404489623,95.92,0.2,0.16,0.65,1.99,1.17
